ano_registro,id_producto,ano_publicacion,titulo,tipo_producto,tipo autor principal,autor principal,autores,documento
2007,100300033,2006,"Naturalezas, Saberes y Territorios Comcáac (Seri). Diversidad Cultural y Sustentabilidad Ambienta",Libro con arbitraje nacional,Interno,Luque Agraz Diana María Perfecta,"*Luque Agraz Diana María Perfecta,Robles Torres A.",http://200.23.35.7/archivos/productos/investigacion/libros/100300033_1.pdf
2007,100300034,2007,"Masculinidad e Intimidad: identidad, sexualidad y sida",Libro con arbitraje nacional,Interno,Núñez Noriega Guillermo,*Núñez Noriega Guillermo,http://200.23.35.7/archivos/productos/investigacion/libros/100300034_1.pdf
2007,100300032,2007,Masculinidad y Violencia Homicida,Libro con arbitraje nacional,Interno,Román Pérez Rosario,"*Román Pérez Rosario,Sotomayor Peterson Z.",http://200.23.35.7/archivos/productos/investigacion/libros/100300032_1.pdf
2008,100300001,2008,Tlamatine. Mito-lógica del trueno,Libro con arbitraje nacional,Interno,Noriega Orozco Blanca Rebeca,*Noriega Orozco Blanca Rebeca,http://200.23.35.7/archivos/productos/investigacion/libros/100300001_1.pdf
2008,100300002,2008,Manual de Buenas Práctias de Producción Acuícola de Tilapia para la Inocuidad Alimentaria,Libro con arbitraje nacional,Interno,Calvario Martínez Omar,"García Ortega Armando,*Calvario Martínez Omar",
2008,100300003,2008,Manual de Buenas Práctias de Producción Acuícola de Bagre para la Inocuidad Alimentaria,Libro con arbitraje nacional,Interno,Calvario Martínez Omar,"García Ortega Armando,*Calvario Martínez Omar",http://200.23.35.7/archivos/productos/investigacion/libros/100300003_1.pdf
2009,100300005,2009,"La roña, antracnosis y daño por trips en aguacate, su distribucion espacio-temporal",Libro con arbitraje internacional,Interno,Ávila Quezada Graciela Dolores,"*Ávila Quezada Graciela Dolores,Teliz Ortiz D.,González Hernández H.,Johansen Naime R.,Vaquera Huerta H.",http://200.23.35.7/archivos/productos/investigacion/libros/100300005_1.pdf
2009,100300008,2009,Micorrización Natural Identificación en Huertas Nogaleras,Libro con arbitraje internacional,Interno,Muñoz Márquez Ezequiel,"*Muñoz Márquez Ezequiel,Sánchez Chávez Esteban,Ávila Quezada Graciela Dolores,Macías López Bertha Catalina,Jiménez Castro Jorge,González García Juvencio",http://200.23.35.7/archivos/productos/investigacion/libros/100300008_1.pdf
2009,100300007,2009,Ingeniería de Tejidos Aplicada a la Sustitución y Regeneración de Piel,Libro con arbitraje internacional,Interno,Argüelles Monal Waldo Manuel,"*Argüelles Monal Waldo Manuel,Peniche Covas Carlos",http://200.23.35.7/archivos/productos/investigacion/libros/100300007_1.pdf
2009,100300009,2009,Impacto del ácido salicílico sobre la asimilación de nitrógeno y productividad del chile jalapeño,Libro con arbitraje internacional,Interno,Sánchez Chávez Esteban,"*Sánchez Chávez Esteban,García Bañuelos Monica Liliana,Muñoz Márquez Ezequiel,Barrera Tovar Ricardo,Anchondo Nájera Álvaro,Macías López Bertha Catalina,Soto Parra Juan Manuel",http://200.23.35.7/archivos/productos/investigacion/libros/100300009_1.pdf
2009,100300004,2009,"El Bacanora. Cultivo, Regulación y Mercados.",Libro con arbitraje nacional,Interno,Núñez Noriega Luis,"*Núñez Noriega Luis,Salazar Solano Vidal,Acedo Félix Evelia",http://200.23.35.7/archivos/productos/investigacion/libros/100300004_1.pdf
2009,100300006,2009,Estrategias de Mercado en la Industria Alimentaria. Plantas del Noroeste de México,Libro con arbitraje nacional,Interno,Taddei Bringas Isabel Cristina,*Taddei Bringas Isabel Cristina,http://200.23.35.7/archivos/productos/investigacion/libros/100300006_1.pdf
2009,100300010,2009,"Vidas vulnerables.  Hombres indígenas, diversidad sexual y VIH-Sida",Libro con arbitraje nacional,Interno,Núñez Noriega Guillermo,*Núñez Noriega Guillermo,http://200.23.35.7/archivos/productos/investigacion/libros/100300010_1.pdf
2010,100300012,2010,Enfermedades del camarón. Detecciones mediante análisis en fresco e histopatología,Libro con arbitraje internacional,Interno,Morales Covarrubias María Soledad,*Morales Covarrubias María Soledad,http://200.23.35.7/archivos/productos/investigacion/libros/100300012_1.pdf
2010,100300017,2010,¿Qué es la diversidad sexual? Reflexiones desde la academia y el movimiento ciudadano,Libro con arbitraje internacional,Interno,Núñez Noriega Guillermo,*Núñez Noriega Guillermo,http://200.23.35.7/archivos/productos/investigacion/libros/100300017_1.pdf
2010,100300013,2010,Aplicación de macronutrientes mediante fertirrigación en manzano,Libro con arbitraje internacional,Interno,Sánchez Chávez Esteban,"*Sánchez Chávez Esteban,García Bañuelos Monica Liliana,Soto Parra Juan Manuel,Sierra Moreno Juan,Yáñez Muñoz Rosa María,Montes Domínguez Federico,Basurto Sotelo Moisés,Pérez Leal Ramona",http://200.23.35.7/archivos/productos/investigacion/libros/100300013_1.pdf
2010,100300016,2010,Influencia de la fertilización nitrogenada sobre la actividad enzimática nitrato reductasa en manzano Golden Delicious,Libro con arbitraje internacional,Interno,Sánchez Chávez Esteban,"*Sánchez Chávez Esteban,García Bañuelos Monica Liliana,Vázquez Cisneros Jesús Manuel,Soto Parra Juan Manuel,Yáñez Muñoz Rosa María,Montes Domínguez Federico,Basurto Sotelo Moisés,Pérez Leal Ramona,Porras Flores Damián Aarón",http://200.23.35.7/archivos/productos/investigacion/libros/100300016_1.pdf
2010,100300011,2010,Génesis del homicida,Libro con arbitraje nacional,Interno,Román Pérez Rosario,"*Román Pérez Rosario,Sotomayor Peterson Z.",http://200.23.35.7/archivos/productos/investigacion/libros/100300011_1.pdf
2010,100300015,2010,La Economía de Sonora: Una Propuesta con Visión a Largo Plazo,Libro con arbitraje nacional,Interno,Núñez Noriega Luis,*Núñez Noriega Luis,http://200.23.35.7/archivos/productos/investigacion/libros/100300015_1.pdf
2010,100300014,2010,Remesas y Recaudación Tributaria en México,Libro con arbitraje nacional,Externo,Lozano Ascencio Fernando,"Huesca Reynoso Luis,*Lozano Ascencio Fernando,Valdivia Lopez Marcos",http://200.23.35.7/archivos/productos/investigacion/libros/100300014_1.pdf
2010,100300018,2010,Diagnóstico sobre la cultura del agua en la población de la ciudad de Mazatlán,Libro con arbitraje regional,Interno,Ceballos Bernal María Carolina,"*Ceballos Bernal María Carolina,Ramírez López Jesús Antonio",http://200.23.35.7/archivos/productos/investigacion/libros/100300018_1.pdf
2011,100300022,2011,Eficiencia de uso del nitrógeno en nogal pecanero bajo un sistema de fertirrigación,Libro con arbitraje internacional,Interno,Sánchez Chávez Esteban,"*Sánchez Chávez Esteban,Muñoz Márquez Ezequiel,García Bañuelos Monica Liliana,Guevara Aguilar Alexandro",http://200.23.35.7/archivos/productos/investigacion/libros/100300022_1.pdf
2011,100300023,2011,Importancia de la fertilziación foliar con Níquel en nogal pecanero,Libro con arbitraje internacional,Interno,Sánchez Chávez Esteban,"*Sánchez Chávez Esteban,Guevara Aguilar Alexandro,Muñoz Márquez Ezequiel,García Bañuelos Monica Liliana",http://200.23.35.7/archivos/productos/investigacion/libros/100300023_1.pdf
2011,100300025,2011,La desigualdad y la pobreza:el efecto de las políticas neoliberales,Libro con arbitraje internacional,Interno,Camberos Castro Mario,"*Camberos Castro Mario,Bracamontes Nevárez Joaquín",http://200.23.35.7/archivos/productos/investigacion/libros/100300025_1.pdf
2011,100300026,2011,El Programa Oportunidades y el Ejercicio de Focalización en México,Libro con arbitraje internacional,Interno,Bracamontes Nevárez Joaquín,"*Bracamontes Nevárez Joaquín,Camberos Castro Mario,Huesca Reynoso Luis",http://200.23.35.7/archivos/productos/investigacion/libros/100300026_1.pdf
2011,100300027,2011,Aproximación para la evaluación de manglares: Sinaloa caso de estudio,Libro con arbitraje internacional,Interno,Ruiz Luna Arturo,"*Ruiz Luna Arturo,Monzalvo Santos K.",http://200.23.35.7/archivos/productos/investigacion/libros/100300027_1.pdf
